job_title;level;min_salary;max_salary;job_requirement;job_description;employer;published_at;employer_rating
python разработчик (middle+);middle;300000.0;350000;Python,AIOHTTP,Sanic,FastAPI,Flask,SQLAlchemy,ORM,Alembic;"Бизнес-Азимут является опытным экспертом в проведении аналитических работ в ИТ-проектах, анализе и подготовке документации, системной интеграции, разработке ПО, а также в предоставлении высококвалифицированных ИТ-специалистов для решения широкого спектра задач. Вы нам подходите, если:   Ваш опыт коммерческой разработки на Python не менее 4 лет;   Вы владеете хотя бы одним из асинхронных фреймворков: AioHttp, Sanic, FastApi, Starlette, Flask, etc.   Уверенно знаете Linux на уровне пользователя.   Пишете SQL-запросы без использования ORM.   Желательные требования:  Опыт разработки микросервисной архитектуры; Опыт написания запросов через ORM (SQLAlchemy, Alembic); Опыт разработки событийно-ориентированных приложений; Опыт работы с Kubernetes.  Обязанности:   Проект торговой компании Х5: разработка системы взаимозачета/обмена баллов между системами лояльности клуба Х5 и партнеров.   Выполнять задачи по разработке программных решений в web и мобильных приложениях на основании технических заданий, полученных от функциональных консультантов и в соответствии с регламентами ведения разработок на проекте X5;   Разрабатывать unit тесты;   Cопровождать, документировать и эксплуатировать разработанные приложения;   Оказывать консультации по техническим вопросам в web и мобильных приложениях;   Выявлять дефекты и находить причины их возникновения;   Разрабатывать варианты решения проблем и устранения инцидентов и дефектов;   Предоставлять периодические отчеты о своей деятельности непосредственному и функциональному руководителям.   Условия:  График работы 5/2, готовность работать по Московскому времени;  Работа удаленно!   Заработная плата до 350 000 рублей на руки;  Мы - аккредитованная ИТ-компания (льготная ипотека и прочие блага); Обучение за счет компании; СБЕРЗДОРОВЬЕ ДМС Премии &quot;Приведи друга&quot;, &quot;Порекомендуй проект&quot; от 50000 рублей; Подарки на День Рождения от компании; Корпоративы для всех сотрудников; Поддержка на всех этапах работы;  Отсутствие бюрократии, простая и прозрачная схема работы;   Все проекты недавно стартанули, без громоздкого legaсy;   Новые и востребованные технологии;   Перспективы карьерного и профессионального роста;   Возможность прокачать свои навыки на крупном федеральном проекте;   Интересные, местами сложные и разнообразные задачи.  ";Бизнес-Азимут;2023-06-09;
python developer (fastapi);;;300000.0;PostgreSQL,Python,FastAPI,SQLAlchemy,Kafka,Kubernetes,GitLab CI/CD,EFK,MongoDB,ClickHouse,NLP;"КИБЕР - РОМ — это неформальная обстановка, крутые ИТ-проекты в области медиаиндустрии и отличные заказчики.Тебе предстоит решать нетривиальные задачи, так как мы создаем высоконагруженные медиа сервисы.Мы разрабатываем медиааналитическую систему. Наш стек:  Python 3.10; FastAPI; SQLAlchemy; PostgreSQL; Kafka; Kubernetes; GitLab CI/CD; EFK.  Задачи:  Разрабатывать новые сервисы; Участвовать в проектировании архитектуры системы; Проводить code review, рефакторить код, писать тесты; Искать узкие места и улучшать производительность кода.  От вас ждем:  Умение писать тестируемый поддерживаемый код; Опыт в разработке асинхронного кода; Умение работать в команде согласно выстроенным процессам; Разбираться в сервисной архитектуре; Умение писать и оптимизировать сложные запросы к postgres.  Будет плюсом:  Опыт в проектировании архитектуры хранения данных; Опыт в проектировании высоконагруженных сервисов; Опыт работы с MongoDB, ClickHouse; Опыт в NLP; Управление командой от 3х человек (постановка, декомпозиция задач).  Есть, куда развиваться:  Проект молодой, поэтому отсутствует легаси, в котором нужно копаться и переписывать. Можно сосредоточиться на качественной реализации нового функционала; Проект активно развивается, поэтому можно и нужно принимать участие в продумывании и обсуждении архитектурных решений; Количество обрабатываемых данных постоянно растет, поэтому нужно применять highload решения; Задачи очень разнообразные, поэтому есть возможность осваивать и внедрять новые технологии.  Как будем работать?  Мы - аккредитованная в Минцифрах IT-компания; Оформление по ТК РФ, конкурентная заработная плата; График работы 5\2, гибкое начало дня до 11 утра (возможен гибридный или удаленный график работы); Современное топовое оборудование, мощные ноутбуки; Человеческое отношение. В команде нет винтиков, шестеренок и гаечек, есть только люди. С пониманием относимся к потребностям и проблемам каждого; Возможность внести лепту в завоевание мира :). ";КИБЕР-РОМ;2023-06-07;
python backend developer;;;400000.0;Python,Docker,Django,Git,SQL;"Команда Evrone занимается продуктовой разработкой стартапов и помогает в цифровой трансформации бизнеса в России, США и Европе. Мы занимаемся технически сложными, высоконагруженными, наукоёмкими проектами, проектами с большой бизнес логикой или большой серверной инфраструктурой. Нам доверяют: аналитику, проектирование интерфейсов и дизайн, разработку, инфраструктуру и эксплуатацию. Мы становимся технической командой проекта целиком или консультируем и расширяем возможности существующих команд наших клиентов. Кроме того, Evrone помогает развиваться сообществу разработчиков. Мы делаем самую большую в России конференцию по Ruby — RubyRussia, проводим технические митапы, делаем свой новостной дайджест, а также спонсируем и помогаем в проведении конференций по Go, Python, React/Vue и функциональным языкам. Наши инженеры выступают на ведущих конференциях России и Европы и вносят вклад в Open Source проекты, мы берем интервью у лидеров комьюнити и пишем статьи на самые горячие темы индустрии. В этом году мы ставили стенд и выступали на конференциях Highload и TeamLeadConf. Вся команда работает удаленно с 2008 года. Мы знаем как организовать распределенную разработку комфортно и эффективно. Есть офисы для работы и встреч в Москве и Воронеже, а также офисы продаж в Сан-Франциско и Берлине. Задачи: Влиться в одну из существующих команд разработки и участвовать в разнообразных проектах компании. Про наши последние проекты можно почитать тут: evrone.ru/cases Сейчас мы ищем разработчиков уровня Senior в крупный FinTech проект. Заработная плата зависит от уровня и определяется после прохождения технического собеседования. Этапы найма:  HR-интервью; Техническое интервью в Evrone;  Интервью по профилю языка программирования;  Алгоритмическое интервью; Дизайн распределенных систем; Знакомство с командой.  Стек: Python3, Django (DRF), SQL, Git, Docker. Какие скиллы и опыт важны:   Опыт коммерческой веб-разработки от 4-х лет на Python3 (Django (DRF);   Опыт и знания работы с SQL;   Опыт работы с Docker, Git.   Будет круто:   Опыт работы с асинхронной архитектурой FastAPI;   Что предлагаем:   Удаленную фултайм работу и мягкий график. Достаточно синхронизировать тайм-зоны и иметь пересечения рабочего времени с командой;   Качественный онбординг и hr-менеджмент (1:1, Grow Review). По желанию меняем проекты, не даем стагнировать. При формировании команды проекта учитываем профессиональные или личные интересы разработчиков;   Работу в разновозрастном, разнополом и потрясающе дружном и профессиональном коллективе;   Хорошо организованный воркфлоу, отсутствие бюрократии. Работа на доверии.   Одна из ценностей Evrone – работа с удовольствием. Для этого мы придумали Evrone Benefits. Каждому из нас выделяется годовой бюджет, автоматически пополняемый каждый новый год вашей работы в Evrone. Его можно потратить на полезные категории трат, направленные на:   ДМС и здоровье;   Спорт и абонемент для фитнеса или инвентарь для спорта;   Курсы иностранного языка;   Техника для работы и улучшение рабочего места;   Обучение: курсы, тренинги, мастер-классы, семинары, книги и конференции.   Бонусы и премии:   Премии за локальные успехи и отличную работу в целом;   Автоматическая индексация зарплаты без необходимости кого-то об этом просить, а также повышение зарплаты по мере роста компетенций;   Премии за привлечение новых сотрудников и новых клиентов;   Дополнительная премия за выступления на конференциях и митапах;   У вас есть возможность принять участие в проведении технических интервью специалистов, которые могут стать вашими коллегами. Проведение интервью оплачивается.   Обучение и рост компетенций:   Проводим митапы по Python. Вы можете быть как и слушателем, так и спикером;   У нас есть культура менторства. В повседневных задачах и планировании карьеры будет помогать наставник;   Развивать профессиональный уровень можно с помощью системы ассессмента Evrone Challenge;   Есть внутренняя библиотека с электронными книгами и записанными курсами;   Работаем и дружим с западными заказчиками, есть возможность практиковать свой английский.   Возможность стать докладчиком или автором:   Если вы хотите выступить на оффлайн конференции, мы поможем вам подготовить контент для доклада и сделаем крутые слайды. DevRel Evrone (Григорий Петров) поможет подготовиться к выступлению на конференции, окажем поддержку на самой конференции и подготовим материалы с вашим докладом. Также Evrone оплатит вам все расходы на подготовку, поездку и участие в конференции;   Если вы хотите выступить на онлайн конференции, помимо помощи по подготовке доклада и подбору конференции, мы организуем вам студийную съемку или трансляцию вашего доклада;   У нас есть блоги на всех популярных платформах России и мира. Наши редакторы и профессиональные авторы еженедельно выпускают новые материалы;   Если вы написали статью, мы нарисуем для нее иллюстрации и поможем вам ее оформить и опубликовать. Если у вас есть только идея - редакторы помогут сформулировать мысли, оформить пост самостоятельно и правильно опубликовать для максимального охвата. Конечно, Evrone оплатит часы и любые затраты, потраченные на подготовку материала;   Возможность прокачаться в Open Source:   Если у вас есть популярные open source проекты – мы поможем с их продвижением и окажем поддержку в развитии;   Если вы контрибьютите в популярные проекты с открытым исходным кодом, мы оплатим часы, которые вы на это потратили.   Если вы ничего этого не делаете, но очень хочется начать – в Evrone есть менторы, которые помогут вам сделать первые шаги: подберут задачки для старта, помогут решить их и правильно оформить pr.   Отдых и развиртуализация: Мы считаем обязательным собираться вместе несколько раз в году. В Evrone есть несколько событий в году, которые собирают вместе весь наш коллектив. Поэтому, где бы вы ни находились, мы обязательно увидимся лично (компания оплатит вам дорогу и все расходы на корпоратив).";evrone.ru;2023-06-08;
программист python;;70000.0;100000;Python,Linux,MySQL,PostgreSQL,XML,Pandas;"Торговая компания RusExpress.ru. Мы продаем более 200 000 SKU товаров на своем сайте и всех основных маркетплейсах. Обязанности:  Разработка кода по ТЗ и задачам - интеграции по API, обработка данных, поддержка БД; Настройка исполнения периодических скриптов (программ) и их мониторинг; Составление инструкций по работе с кодом и связанным процессами; Работа с облачным хранилищем, расширение и управление дисками (Linux, SSH); Администрирование баз (управление пользователями, добавление/удаление баз, мониторинг); Небольшие задачи системного администрирования.  Требования:  Опыт программирования на Python от 3 лет; Знание среды разработки Jupyter, PostgreSQL, MySQL, Linux; Опыт работы с API, Pandas, интеграций с сервисами (например CRM+маркетплейс); Умение рассмотреть задачу со всех сторон; Отличная самоорганизация.  Условия:  Удаленная работа с гибким графиком, полный день; Почасовая оплата по трекеру, выплаты на ИП или самозанятого (налоги берем на себя); Квартальные бонусы по итогам выполнения проектов; Большое количество интеллектуальных задач; Оперативный контакт с руководителями; Размер оплаты зависит от эффективности работы и опыта.  Если Вас заинтересовала вакансия, прошу дать ответы на вопросы. Представьте себе гипотетические ситуации: 1) К Вам приходит коллега и задает вопрос: &quot;Нет отклика от базы данных&quot;. Т.е. коллега делает запрос в таблицу БД Postgree и ничего не происходит. (Важно понимать, что коллега умеет обращаться с БД на уровне пользователя). Какие конкретные действия вы предпримите для разрешения проблем? 2) Перед вами стоит задача отправить данные из таблицы по API на удаленный сервер. Опишите алгоритм действий.";РусЭкспресс;2023-06-09;
data scientist / ml engineer (middle+);middle;180000.0;260000;SCALA,Java,SQL,Анализ данных,Python,Elasticsearch,Cython,Big Data,С++,Tensorflow,Pytorch,SciPy,Numpy,Pandas,Word2vec,Xgboost;"AnyQuery — SaaS сервис AI поиска для eCommerce, обрабатывает миллиарды поисковых запросов на 250 интернет-магазинах (Ситилинк, ЦУМ, Эльдорадо, Спортмастер, Петрович, Азбука Вкуса и тд)У нас огромная экспертиза в машинном обучении, high load системах.В текущей команде около 90 человек, компания продолжает расти и ищет Data Scientist. Что надо делать:   Разрабатывать модели схожести запросов и товаров   Разрабатывать модели ранжирования   Дорабатывать сервис метрик и производить анализ метрик   Анализировать поиск, выдвигать гипотезы по повышению качества поиска   Что нужно уметь :   Уметь писать готовый к production код (Python/опционально Cython)   Иметь математический бекграунд (профильное техническое/математическое образование, хорошее понимание мат.статистики, линейной алгебры)   Опыт работы с текстовыми данными или задачами поиска будет серьезным плюсом   Java/Scala/Elasticsearch/C++ будет плюсом   Почему нужно идти к нам?  Удаленную фултайм работу - нам не важно, из какой точки мира вы работаете, важен только результат. Работу с настоящей командой из 60 профессионалов, готовых прийти на помощь. Полностью белую заработную плату, оформление по тк.  У нас крутая продуктовая культура. Мы смогли за 2 года обогнать лучших мировых игроков по функционалу, за счет плотной работы с клиентами, быстрых MVP и точных решений   #B2B #AI #SaaS Enterprise - мы занимаемся очень перспективным бизнесом. За ним и настоящее и будущее. AI — этого становится все больше, растущий рынок, вам это пригодится. А SaaS любят потому, что хороший ретеншн и рациональное принятие решения об использовании.   У нас очень крутая школа и репутация - выпускники нашей команды работают в самом топе - Ebay Europe, Constructor IO, Microsoft Europe, Semrush, Lamoda, Yandex, AliExpress, RichRelevance.  Мы также заботимся о твоем метальном здоровье предлагаем скидки на услуги сервиса &quot;Ясно&quot; ";DIGINETICA;2023-06-09;
python backend developer;;;280000.0;Python,asyncio,aiohttp;"Команда Evrone занимается продуктовой разработкой стартапов и помогает в цифровой трансформации бизнеса в России, США и Европе. Мы занимаемся технически сложными, высоконагруженными, наукоёмкими проектами, проектами с большой бизнес логикой или большой серверной инфраструктурой. Кроме того, Evrone помогает развиваться сообществу разработчиков. Мы спонсируем и помогаем в проведении конференций по Go, Python, React. Наши инженеры выступают на ведущих конференциях России и Европы: Highload++ и TeamLead Conf. На недавней PyCon-2021 Python-лид Evrone Артём Иннокентьев рассказал чего ждать от pattern matching. Мы берем интервью у лидеров комьюнити и создателей технологий. На evrone.ru можно почитать интервью с создателем FastAPI Себастьяном Рамиресом или интервью с Армином Ронахером, создателем веб-фреймворка Flask. Также мы вносим вклад в OpenSource-проекты, а в нашем Github можно найти Evrone Python Guidelines. Вся команда работает удаленно с 2008 года. Мы знаем как организовать распределенную разработку комфортно и эффективно. Есть офисы для работы и встреч в Москве и Воронеже, а также офисы продаж в Сан-Франциско и Берлине. Задачи: Влиться в одну из существующих команд разработки и участвовать в создании платёжного сервиса на базе СБП, который встраивается в любое приложение программы лояльности в форме SDK и позволяет оплачивать покупки в одно действие. Покупатель показывает на кассе QR-код, с помощью которого и оплачивает покупку, и получает скидки с бонусами, предусмотренные программой. Работаем по методологии scrum со всеми церемониями по спринтам. Стек технологий: Python 3.x и выше (aiohttp, asyncio, asyncpg), Postgres, RabbitMQ, Grafana stack, Docker, k8s. Одни из последних задач: написание сложных высоконагруженных микросервисов на Python и интеграция с партнерами. Мы ищем разработчиков уровня Middle+ / Senior-уровня. Заработная плата зависит от уровня и определяется после прохождения технического собеседования. Мы хотим видеть в вас:  опыт коммерческой веб-разработки от 3 лет; опыт реализации проектов, построенных на микросервисной архитектуре с использованием асинхронных фреймворков (FastApi, Aiohttp и др.); умение пользоваться РСУБД не только через ORM (индексы, триггеры, опыт оптимизации и профилирования запросов);  Будет плюсом:  Опыт работы с контейнеризацией (Docker, Docker Compose, Kubernetes).  Что предлагаем:  Удаленную фултайм работу. Нам не важно, из какой точки мира вы работаете, важен только результат. Но если вы хотите ходить в офис, они есть Москве и Воронеже; Мягкий график. Достаточно синхронизировать тайм-зоны и иметь пересечения рабочего времени с командой; Качественный онбординг и hr-менеджмент (1:1, Grow Review). По желанию меняем проекты, не даем стагнировать. При формировании команды проекта учитываем профессиональные или личные интересы разработчиков; Работу в разновозрастном, разнополом и потрясающе дружном и профессиональном коллективе; Хорошо организованный воркфлоу, отсутствие бюрократии. Работа на доверии.  Одна из ценностей Evrone – работа с удовольствием.Для этого мы придумали Evrone Benefits. Каждому из нас выделяется годовой бюджет, автоматически пополняемый каждый новый год вашей работы в Evrone. Его можно потратить на полезные категории трат, направленные на:  ДМС и здоровье; Спорт и абонемент для фитнеса или инвентарь для спорта; Курсы иностранного языка; Техника для работы и улучшение рабочего места; Обучение: курсы, тренинги, мастер-классы, семинары, книги и конференции.  Бонусы и премии:  Премии за локальные успехи и отличную работу в целом; Автоматическая индексация зарплаты без необходимости кого-то об этом просить, а также повышение зарплаты по мере роста компетенций; Премии за привлечение новых сотрудников и новых клиентов; Дополнительная премия за выступления на конференциях и митапах; У вас есть возможность принять участие в проведении технических интервью специалистов, которые могут стать вашими коллегами. Проведение интервью оплачивается.  Обучение и рост компетенций:  Проводим внутренние митапы по Python; У нас есть культура менторства. В повседневных задачах и планировании карьеры будет помогать наставник; Развивать профессиональный уровень можно с помощью системы ассессмента Evrone Challenge; Есть внутренняя библиотека с электронными книгами и записанными курсами; Работаем и дружим с западными заказчиками, есть возможность практиковать свой английский.  Возможность стать докладчиком или автором:  Если вы хотите выступить на оффлайн конференции, мы поможем вам подготовить контент для доклада и сделаем крутые слайды. DevRel Evrone (Григорий Петров) поможет подготовиться к выступлению на конференции, окажем поддержку на самой конференции и подготовим материалы с вашим докладом. Также Evrone оплатит вам все расходы на подготовку, поездку и участие в конференции; Если вы хотите выступить на онлайн конференции, помимо помощи по подготовке доклада и подбору конференции, мы организуем вам студийную съемку или трансляцию вашего доклада; У нас есть блоги на всех популярных платформах России и мира. Наши редакторы и профессиональные авторы еженедельно выпускают новые материалы; Если вы написали статью, мы нарисуем для нее иллюстрации и поможем вам ее оформить и опубликовать. Если у вас есть только идея - редакторы помогут сформулировать мысли, оформить пост самостоятельно и правильно опубликовать для максимального охвата. Конечно, Evrone оплатит часы и любые затраты, потраченные на подготовку материала;  Возможность прокачаться в Open Source:  Если у вас есть популярные open source проекты – мы поможем с их продвижением и окажем поддержку в развитии; Если вы контрибьютите в популярные проекты с открытым исходным кодом, мы оплатим часы, которые вы на это потратили. Если вы ничего этого не делаете, но очень хочется начать – в Evrone есть менторы, которые помогут вам сделать первые шаги: подберут задачки для старта, помогут решить их и правильно оформить pr.  Отдых и развиртуализация: Мы считаем обязательным собираться вместе несколько раз в году. В Evrone есть несколько событий в году, которые собирают вместе весь наш коллектив. Поэтому, где бы вы ни находились, мы обязательно увидимся лично (компания оплатит вам дорогу и все расходы на корпоратив).";evrone.ru;2023-06-09;
senior algo trading python developer;senior;330578.5123966942;5000;;В международную криптовалютную биржу требуется Senior algo trading python developer. Биржа основана в 2014 году, платформа постоянно расширяет функционал, пополняет список активов для более чем 2 миллионов трейдеров со всего мира. Команда работает над тем, чтобы сделать криптовалютный рынок доступным для торговли и инвестиций. Мы гордимся простым интуитивным интерфейсом биржи, позволяющим легко начать путь в трейдинге. В листинге биржи представлены все главные фиатные валюты, а также большой список криптовалют, который постоянно пополняется новыми активами. Обязанности: - Имплементировать новые, дорабатывать и поддерживать существующие бизнес требования - Взаимодействовать с трейдерами и квант аналитиками - Оптимизировать потоки сообщений - Повышать скорость работы системы - Понижать задержки в обмене сообщениями внутри системы и по сети - Улучшать отказоустойчивость - Разрабатывать высоконагруженное приложение - Следовать общей парадигме и стандартам написания кода, тестирования и отладки - Архитектурные решения для реализации масштабируемых бизнес задач - Проводить комплексный системный анализ Требования: - Уверенное знание python 3.7 - Опыт написания, проектирования и поддержки высоконагруженных систем - Сильный навык разработки, отладки - Обязательный навык в оптимизации производительности асинхронных приложений - Знание библиотек: asyncio, pandas, threading, multiprocessing - Глубокие знания структур данных, алгоритмов и шаблонов проектирования - Знание linux, ubuntu, SQL, grafana, clickhouse, nginx, gitlab, github - Опыт написания low-latency торговых систем будет плюсом - Опыт ручной и автоматизированной торговли будет плюсом Условия: - Трудоустройство по ИП- График работы: 10.00-19.00- Удаленная работа - Высокие бонусы - Сильная команда - Интересные и сложные задачи- Работа над современным финтех-продуктом;Yenlik;2023-06-08;
junior devops engineer (quantum as a service);junior;120000.0;170000;Kubernetes,Bash,Docker,CI/CD,Linux,Python,DevOps;"«‎КуБорд» — первая российская компания-разработчик квантового программного обеспечения, спин-офф Российского квантового центра. Мы активно развиваем свои собственные продукты и выполняем коммерческие научно-исследовательские проекты по квантовым вычислениям для крупного бизнеса: нефтегазовый сектор, финансовая индустрия, вычислительная биология и другие отрасли. Среди клиентов и партнеров компании: Росатом, Газпромнефть, СберБанк, Газпромбанк. В связи с усложнением инфраструктурных решений у нас появилась потребность в отдельном специалисте для ее настройки, поэтому мы открываем новую позицию DevOps инженера. Обязанности:• Развертывание, настройка и сопровождение квантовых облачных сервисов• Участие в задачах по интеграции и тестированию вычислительных модулей• Настройка и администрирование инструментов командного взаимодействия:- - - Сервер репозитариев, CI/CD;- - - Файловое хранилище;- - - Командный мессенджер;- - - Система видеосвязи;- - - Прочие вспомогательные сервисы;• Доработка вычислительных модулей Требования:• Свободное владение Bash, Linux• Владение инструментами контейнеризации (docker, docker compose)• Опыт настройки распределенных баз данных (репликация, шардинг)• Опыт работы с Kubernetes• Владение основами ИТ-безопасностиБудет плюсом: • Владение Python• Высшее техническое образование Условия работы:• Удаленный или гибридный формат работы• Полный рабочий день, оформление по ТК РФ, белая заработная плата• Интересный и стремительно растущий рынок квантовых технологий• Комфортный офис с лаундж-зоной и собственным кафе на территории Сколково• Аккредитованная IT компания";Russian Quantum Center;2023-06-09;
python разработчик;;100000.0;200000;Python,SQL,API,Убеждение,Желание зарабатывать,Желание работать и развиваться;В молодой и не большой коллектив ищем грамотного разработчика. Наша компания занимается продажами автотоваров на маркетплейсах. Опыт работы с маркетплейсами будет вашим преимуществом. Коротко о нас: с нуля до 100млн оборота за 1.5 года =) Обязанности:  Автоматизация работы с маркетплейсами Оптимизация и поддержка работы бд Разработка api  Требования:  Опыт работы с python от 1 года Опыт разработчика от 3 лет  Готов работать не по четкому ТЗ, а по бизнес требованиям.   Работать в сжатых сроках и отвечать за свой результат.   Условия:  Работа 5\2 (дом\офис) (обсуждаемо) ;Филатов Павел Сергеевич;2023-06-06;
дата-инженер/data engineer;;180000.0;;MS SQL,Python,Инженер данных,Git,PowerBI,Clickhouse,Аналитик данных,Хранилище данных,SQL,Работа в команде;В настоящее время мы создаём новую платформу данных, которая включает в себя несколько блоков: получение данных из различных источников, загрузка данных в единое ХД, витрины, качество данных, доступ к данным и др.В рамках этого проекта есть пул задач, которые будут интересны как дата-инженерам, так и сильным аналитикам данных. Скучно точно не будет - вся скучная работа автоматизирована, поэтому в команду нужны активные разработчики, которым интересны сложные и нестандартные задачи и готовые развиваться, изучать и внедрять новые технологии. Чем придется заниматься:  Поиск источников данных и исследование данных на корректность перед загрузкой в ХД Настройка ETL/ELT процессов для выгрузки данных в ХД Подготовка витрин данных для аналитиков Автоматизация доступа к данным ХД/витрин (column_level, row_level) Оркестрация ETL/ELT Визуализация data lineage Качество данных (Data Quality). Создание дашбордов в PowerBI.  Ожидания от опыта:    Знание методологий моделирования ХД (3NF, DataVault, AnchorModeling и т.д.) Отличное владение SQL (основной объём данных в MSSQL) Богатый опыт ETL/ELT Python Будет плюсом опыт работы с MPP субд (greenplum, clickhouse)  Основной стек: Git, MSSQL, clickhouse, Python, DBT, PowerBI, Airflow. Мы предлагаем:  Работа в аккредитованной ИТ компании Удаленная работа, не нужно тратить время на поездки в офис Трудоустройство в штат компании или другие варианты Поддержку инициатив Возможность оплаты курсов и конференций Возможность приобретать автозапчасти со скидкой Возможность работать в команде, которая двигает рынок автозапчастей в РФ. ;ПартКом;2023-06-09;
